FeatureID,FeatureName,WTY_ClusterD Average,WTY_ClusterD Log2 Fold Change,WTY_ClusterD P-Value,WTY_ClusterCp Average,WTY_ClusterCp Log2 Fold Change,WTY_ClusterCp P-Value,WTY_ClusterC Average,WTY_ClusterC Log2 Fold Change,WTY_ClusterC P-Value,WTY_ClusterB Average,WTY_ClusterB Log2 Fold Change,WTY_ClusterB P-Value,WTY_ClusterA Average,WTY_ClusterA Log2 Fold Change,WTY_ClusterA P-Value
ENSMUSG00000040204,Pclaf,0.088717034,-5.628721396,1.45E-76,5.491132655,1.369095786,6.67E-08,0.101812535,-4.951005083,8.81E-18,6.14047075,1.79162092,1.85E-14,0.785969601,-1.953947814,0.001207613
ENSMUSG00000020649,Rrm2,0.0575518,-5.443892387,1.04E-71,2.926827656,1.194997203,4.92E-06,0.085736871,-4.38936643,7.55E-15,3.748683431,2.002314987,6.15E-18,0.233640217,-2.909121884,1.55E-06
ENSMUSG00000019942,Cdk1,0.017244763,-5.600587146,1.90E-70,0.497070539,-0.196785525,0.788204398,0.015310156,-5.248723467,1.26E-17,1.68732894,3.306081655,9.00E-49,0.119264044,-2.293533905,0.000150049
ENSMUSG00000025163,Cd7,0.006440815,-6.739200042,1.90E-70,0.026646402,-4.442735662,2.13E-27,0.007655078,-5.92060621,2.21E-16,0.018308943,-5.038971747,2.59E-37,5.965157343,8.657493545,2.77E-191
ENSMUSG00000022033,Pbk,0.012258326,-5.625131194,6.11E-69,0.454962644,0.234020992,0.637061901,0.009186093,-5.480042457,6.72E-18,1.141257449,2.904552747,1.66E-37,0.094824691,-2.15786735,0.000390131
ENSMUSG00000027715,Ccna2,0.051734289,-5.163920397,4.42E-67,1.16849408,-0.083174579,1,0.057413084,-4.533003349,1.77E-15,3.636795445,3.161190512,1.66E-45,0.256124422,-2.340347784,9.37E-05
ENSMUSG00000027306,Nusap1,0.025347724,-5.289209701,9.37E-67,0.416144429,-0.797674224,0.015856007,0.03444785,-4.35673052,2.91E-14,2.1287779,3.759840171,2.44E-62,0.16325488,-2.08271883,0.000601392
ENSMUSG00000020914,Top2a,0.082068451,-5.071998539,1.53E-66,1.982689702,0.162407386,0.823991459,0.071957731,-4.785206136,7.27E-17,5.184918295,2.928403977,2.14E-39,0.407648412,-2.243399447,0.000175403
ENSMUSG00000074476,Spc24,0.01994575,-5.291659163,1.57E-66,0.658593792,0.465843275,0.161448165,0.02755828,-4.330516865,3.79E-14,1.35544302,2.532169413,7.22E-29,0.245371107,-1.13247745,0.104731845
ENSMUSG00000012443,Kif11,0.01412824,-5.448042083,1.68E-66,0.317783018,-0.455350089,0.240988148,0.018372187,-4.56018285,1.32E-14,1.286857139,3.506474859,5.24E-54,0.091891968,-2.230596771,0.000249388
